,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Factors,,,,,Factors,,,,,,Performance,,,"Skew of last 1M All deals on T, T-1, T-3",,,,"Skew of last 1M Sector deals deals on T, T-1, T-3",,,,,,Average Returns from T-2w to last 3 days,,
RTEC US 20012,RTEC,2/15/2001,2/16/2001,Rudolph Technologies Inc,M/O,RTEC-US,RTEC US,45.00," 3,500,000 ",Information Technology, 671 ," 14,872,000 ", 29 , 71 ,,N,N,Y,-6.37%,Y,Y,"157,500,000 ",D,9.76%,,N,27.0%,27.3%,N,N,96.8%,,Y,,,,,,,,,,,,,,,,,,,17.4x,,N,N,N ,,,,,0.0x,,0.9x,,,Buy,0.96 x,1.02 x,1.28 x,1.32 x,1.34 x,5.0,5.0,5.0,4.0,45.1,45.1,45.1,45.1,45.1,+ve,+ve,+ve,+ve,N,Large,1.5906727, 36.0 , 3.5 ,56.757896,,N,N,Y,N,3.1%,Y,106.25737,101.15983,104.216484,199334.78,121548.38,17.6,28.8,N,N,0.0%,0.0%,30.1%,-35%,Above,Below,0.3%,-10.8%,54.3%,34.7%,N,Y,Y,N,N,Y,,-,-,-,-,,-,-,-,-,,,-3.8%,-0.2%,,17%,50%,40%,,0%,0%,0%,,,,6.50%,-3.14%,0.26%
MKL US 20012,MKL,2/21/2001,2/22/2001,Markel Corp,M/O,MKL-US,MKL US,162.50," 1,610,000 ",Financials," 1,195 "," 8,210,000 ", 77 , 23 ,,N,N,Y,-2.59%,Y,N,"261,625,000 ",U,6.43%,,N,9.5%,14.5%,N,N,,,Y,,,,,,,,,,,,,1.7x,,0.7x,3.3x,0.5x,2.1x,-3.4x,,N,N,N ,,,N,N,0.8x,0.2x,-0.2x,,,Buy,0.97 x,0.97 x,0.97 x,1.07 x,1.04 x,3.7,4.3,3.0,4.0,163.0,163.0,163.0,163.0,163.0,+ve,+ve,+ve,+ve,N,Large,0.82078314, 13.3 , (0.1),46.998283,,N,N,Y,N,3.8%,Y,24.685266,33.746994,33.823555,26727.271,28468.854,60.2,56.6,N,N,0.0%,0.0%,-0.4%,,Below,Below,0.0%,-4.8%,-2.8%,12.6%,Y,N,Y,N,N,N,,-,-,-,-,,-,-,-,-,,,-2.2%,-2.2%,,17%,17%,14%,,0%,0%,0%,,,,-0.59%,0.00%,3.38%
SIRI US 20012,SIRI,2/23/2001,2/26/2001,Sirius Satellite Radio Inc,M/O,SIRI-US,SIRI US,21.00," 11,500,000 ",Consumer Discretionary," 1,003 "," 42,099,000 ", 100 , -   ,,Y,N,N,-17.85%,N,Y,"241,500,000 ",D,1.72%,,N,20.5%,36.6%,N,N,444.3%,,Y,,,,,,,,25.1x,,,,15.7x,,,,,,,,,Y,N,N ,,,N,N,0.5x,0.0x,0.2x,,,Buy,0.82 x,0.77 x,0.78 x,0.57 x,0.65 x,5.0,5.0,5.0,5.0,22.9,22.9,22.9,22.9,22.9,+ve,+ve,+ve,+ve,N,Large,1.0536846, 27.9 , (1.4),20,1.08,N,N,Y,Y,16.5%,Y,44.82059,90.3844,114.54844,774295.44,960461.3,14.9,12.0,N,N,0.0%,0.0%,-3.4%,659%,Below,Below,-6.8%,-18.2%,-28.2%,-32.1%,Y,N,Y,N,N,N,,-,-,-,-,,-,-,-,-,,,-15.9%,-9.5%,,29%,17%,17%,,55%,55%,55%,,,,1.27%,-2.54%,-0.59%
SLM US 20012,SLM,2/23/2001,2/26/2001,Sallie Mae,M/O,SLM-US,SLM US,71.00," 7,241,513 ",Financials," 12,229 "," 492,180,000 ", -   , 100 ,,N,Y,N,-1.74%,Y,N,"514,147,423 ",D,10.35%,,N,13.1%,21.8%,N,N,,,Y,,,,,,,,,,,,,,,,,,,,,N,N,N ,,,,,1.0x,,,,,Hold,0.88 x,0.91 x,0.96 x,1.26 x,1.05 x,4.0,5.0,5.0,5.0,7.4,7.4,7.4,7.4,7.4,+ve,+ve,+ve,+ve,N,Large,1.3607208, 34.6 , 0.3 ,85.349266,1.14,N,N,Y,N,2.0%,Y,27.493134,42.763836,44.641216,2996454.5,3284124.3,2.4,2.2,N,N,0.0%,0.0%,-3.4%,,Below,Below,3.1%,5.1%,19.4%,38.7%,N,N,N,N,N,N,,-,-,-,-,,-,-,-,-,,,4.0%,2.9%,,29%,17%,17%,,33%,0%,0%,,,,1.27%,-2.54%,-0.59%
RNR US 20013,RNR,3/7/2001,3/8/2001,RenaissanceRe Holdings Ltd,M/O,RNR-US,RNR US,72.20," 1,569,215 ",Financials," 1,417 "," 58,026,000 ", -   , 100 ,,N,Y,N,-10.74%,Y,N,"113,297,323 ",D,5.90%,,N,9.9%,19.8%,N,N,294.6%,,Y,,,,,,,,,,8.7x,,,1.8x,,0.7x,0.5x,0.5x,0.3x,19.5x,1.7x,N,N,N ,3.0x,,Y,N,0.4x,0.1x,0.2x,,,Buy,0.75 x,0.71 x,0.73 x,0.91 x,0.76 x,4.7,4.2,3.0,5.0,18.5,18.5,18.5,18.5,18.5,+ve,+ve,+ve,+ve,N,Large,0.6273606, 23.5 , (0.2),22.002094,,N,N,Y,N,1.1%,Y,34.69658,44.99462,49.750416,402177.28,490383.88,3.9,3.2,N,N,0.0%,0.0%,0.2%,132%,Below,Below,0.4%,-2.9%,-11.1%,-4.5%,N,N,N,N,N,N,,-,-,-,-,,-,-,-,-,,,-3.2%,-1.9%,,71%,71%,63%,,100%,100%,100%,,,,0.70%,0.10%,0.67%
STZ US 20013,STZ,3/8/2001,3/9/2001,Constellation Brands Inc,M/O,STZ-US,STZ US,67.00," 2,185,000 ",Consumer Staples," 1,281 "," 122,216,000 ", 100 , -   ,,Y,N,N,1.28%,N,N,"146,395,000 ",U,16.30%,,N,9.0%,11.1%,N,N,,,Y,,,,,,,,,,,,,1.7x,,0.2x,0.5x,0.5x,0.4x,,,N,N,N ,0.7x,,Y,N,0.7x,0.9x,0.2x,,,Buy,1.02 x,1.02 x,1.04 x,1.21 x,1.16 x,5.0,5.0,4.0,5.0,8.2,8.2,8.2,8.2,8.2,+ve,+ve,+ve,+ve,N,Large,0.72638327, 19.2 , 0.1 ,70.5314,0.25,N,N,Y,N,7.8%,Y,27.437761,32.617825,32.6334,924509.1,950541.94,2.4,2.3,N,N,0.0%,0.0%,-4.8%,,Above,Below,5.2%,7.7%,8.4%,34.1%,N,N,N,N,N,N,,-,-,-,-,,-,-,-,-,,,5.7%,5.5%,,71%,71%,71%,,55%,55%,55%,,,,1.51%,0.55%,-0.32%
TGI US 20013,TGI,3/8/2001,3/9/2001,Triumph Group Inc,M/O,TGI-US,TGI US,37.50," 4,100,000 ",Industrials, 479 ," 17,964,000 ", 82 , 18 ,,N,N,Y,-5.06%,N,Y,"153,750,000 ",D,4.51%,,N,6.8%,8.8%,N,N,78.6%,,Y,,,,,,,,,,,,,,,,,,,,,N,N,N ,,,,,0.4x,,0.2x,,,Buy,0.95 x,0.95 x,0.95 x,1.09 x,1.00 x,5.0,5.0,5.0,3.0,18.6,18.6,18.6,18.6,18.6,+ve,+ve,+ve,+ve,N,Small,1.131918, 13.4 , (0.0),46.031746,,N,N,Y,N,0.8%,Y,21.072086,30.400944,37.33031,23063.635,24654.84,177.8,166.3,N,N,0.0%,0.0%,0.5%,36%,Below,Below,1.6%,-1.3%,-1.3%,7.2%,N,Y,Y,N,N,Y,,-,-,-,-,,-,-,-,-,,,0.6%,2.5%,,71%,71%,71%,,100%,100%,100%,,,,1.51%,0.55%,-0.32%
DUK US 20013,DUK,3/13/2001,3/14/2001,Duke Energy Corp,M/O,DUK-US,DUK US,38.98," 28,750,000 ",Utilities," 28,806 "," 254,764,310 ", 100 , -   ,,Y,N,N,-5.78%,Y,N,"1,120,675,000 ",D,2.06%,,N,9.0%,13.9%,N,N,,,Y,,,,,,,,,9.0x,13.8x,,,5.2x,,2.5x,0.7x,1.6x,0.6x,31.0x,3.8x,N,N,N ,,,N,N,0.7x,,0.0x,,,Buy,0.41 x,0.40 x,0.43 x,0.44 x,0.41 x,4.2,4.4,4.3,4.8,29.3,29.3,29.3,29.3,29.3,+ve,+ve,+ve,+ve,N,Large,0.5981342, 16.3 , 0.3 ,34.622288,0.50,N,N,Y,N,0.7%,Y,36.18103,36.612473,39.22605,906662.1,1333835.5,31.7,21.6,N,N,0.0%,0.0%,2.9%,,Below,Below,-4.2%,-5.4%,-5.0%,-8.0%,Y,N,Y,N,Y,N,,-,-,-,-,,-,-,-,-,,,-9.3%,-9.3%,,67%,78%,78%,,55%,55%,55%,,,,-0.64%,0.56%,1.52%
CRL US 20013,CRL,3/15/2001,3/16/2001,Charles River Laboratories International Inc,M/O,CRL-US,CRL US,19.00," 8,050,000 ",Health Care, 695 ," 35,920,000 ", 50 , 50 ,,N,N,Y,-23.54%,N,Y,"152,950,000 ",D,9.83%,,N,,,N,N,-12.0%,,Y,,,,,,,,,,,,,,,,,,,,,N,N,N ,,,,,0.4x,,0.2x,,,Hold,0.92 x,0.85 x,0.81 x,0.77 x,0.80 x,4.0,4.0,4.0,4.0,19.4,19.4,19.4,19.4,19.4,+ve,+ve,+ve,+ve,N,Large,0.7235448, 32.5 , (1.5),30.386179,,N,N,Y,N,0.3%,Y,63.958763,64.07207,64.394516,104927.27,105677.42,76.7,76.2,N,N,0.0%,0.0%,-8.7%,14%,Below,Below,0.0%,-11.2%,-22.9%,-13.8%,Y,N,Y,Y,N,N,,-,-,-,-,,-,-,-,-,,,7.5%,1.3%,,30%,56%,78%,,55%,55%,55%,,,,-1.21%,-0.63%,-0.64%
REGN US 20013,REGN,3/19/2001,3/20/2001,Regeneron Pharmaceuticals Inc,M/O,REGN-US,REGN US,25.00," 7,130,000 ",Health Care, 925 ," 34,260,000 ", 93 , 7 ,,N,N,Y,-32.66%,Y,N,"178,250,000 ",U,1.73%,,N,24.2%,50.2%,N,N,37.7%,-15%,N,,,,,,,,,,,,,,,,,,,,,N,N,N ,,,,,0.5x,,0.8x,,,Hold,1.01 x,0.89 x,0.80 x,0.84 x,0.83 x,4.0,5.0,5.0,5.0,25.1,25.1,25.1,25.1,25.1,+ve,+ve,+ve,+ve,N,Large,1.30968, 30.1 , (2.5),27.376427,0.03,N,N,Y,N,2.3%,Y,76.359215,75.57345,76.61319,164604.77,208650,43.3,34.2,N,N,0.0%,0.0%,-10.8%,60%,Below,Below,9.5%,11.7%,-25.7%,-37.0%,Y,N,Y,N,Y,N,,-,-,-,-,,-,-,-,-,,,9.5%,9.5%,,63%,50%,33%,,100%,100%,55%,,,,0.63%,0.47%,-1.21%
MINI US 20013,MINI,3/19/2001,3/20/2001,Mobile Mini Inc,M/O,MINI-US,MINI US,22.44," 2,875,000 ",Industrials, 261 ," 23,206,000 ", 78 , 22 ,,N,N,Y,-7.24%,N,N,"64,509,250 ",D,1.31%,,N,12.7%,18.6%,N,N,414.3%,,Y,,,,,,,,,,,,,,,,,,,,,N,N,N ,,,,,0.6x,,0.0x,,,Buy,0.82 x,0.85 x,0.85 x,0.93 x,0.90 x,5.0,5.0,5.0,4.0,9.9,9.9,9.9,9.9,9.9,+ve,+ve,+ve,+ve,N,Small,1.092844, 13.2 , 0.1 ,40.425533,,N,N,Y,N,2.6%,Y,67.17856,50.286564,56.01107,208885.72,151783.88,13.8,18.9,N,N,0.0%,0.0%,1.1%,453%,Below,Below,-3.7%,-10.7%,-4.3%,21.2%,N,Y,Y,N,N,Y,,-,-,-,-,,-,-,-,-,,,-3.7%,-3.7%,,63%,50%,33%,,0%,0%,0%,,,,0.63%,0.47%,-1.21%
PEP US 20014,PEP,4/9/2001,4/10/2001,PepsiCo Inc,M/O,PEP-US,PEP US,40.50," 13,200,000 ",Consumer Staples," 60,175 "," 1,449,944,000 ", 100 , -   ,,Y,N,N,-8.02%,Y,N,"534,600,000 ",D,2.19%,,N,7.0%,12.2%,N,N,,,Y,,,,,,,,2.5x,11.3x,20.6x,,2.4x,7.0x,,0.9x,0.9x,2.1x,0.8x,30.2x,0.3x,N,N,Y ,1.2x,,Y,N,0.6x,1.1x,0.0x,,,Buy,0.62 x,0.62 x,0.59 x,0.59 x,0.59 x,4.3,4.0,5.0,5.0,26.7,26.7,26.7,26.7,26.7,+ve,+ve,+ve,+ve,N,Large,0.52761346, 26.5 , (0.4),49.336285,0.95,N,N,Y,N,1.0%,Y,28.372309,25.633707,25.600796,4357990.5,4192214,3.0,3.1,N,N,0.0%,0.0%,0.6%,,Below,Below,-1.2%,-5.8%,-10.6%,-11.0%,N,N,N,N,N,N,,-,-,-,-,,-,-,-,-,,,-1.2%,-1.2%,,75%,83%,86%,,55%,100%,100%,,,,0.25%,0.25%,0.25%
BKH US 20014,BKH,4/18/2001,4/19/2001,Black Hills Corp,M/O,BKH-US,BKH US,52.00," 3,383,000 ",Utilities," 1,403 "," 23,416,000 ", 100 , -   ,,Y,N,N,17.38%,N,N,"175,916,000 ",U,2.23%,,N,9.8%,14.5%,N,N,,,Y,,,,,,,,,,,,,,,,,,,,,N,N,N ,,,,,0.7x,,-0.2x,,,Buy,0.52 x,0.56 x,0.61 x,0.79 x,0.66 x,5.0,4.0,4.0,4.0,26.5,26.5,26.5,26.5,26.5,+ve,+ve,+ve,+ve,N,Large,0.8201024, 50.1 , 1.5 ,90.01447,,N,N,Y,N,2.0%,Y,34.38792,30.343359,31.555471,197113.64,108059.375,17.2,31.3,N,N,0.0%,0.0%,-0.7%,115%,Below,Below,-1.3%,0.4%,19.2%,55.1%,N,Y,Y,Y,N,N,,-,-,-,-,,-,-,-,-,,,1.4%,-0.2%,,67%,67%,100%,,55%,55%,55%,,,,0.17%,0.69%,0.00%
